proof_system,base_field,limbs,m,n
limbo,p434,7,7759,7758
ligero,p434x,7,2823,2822
aurora,p434x,7,2823,2822
limbo,p434x,7,2823,2822
ligero,p441+,7,7759,7758
aurora,p441+,7,7759,7758
limbo,p441+,7,7759,7758
limbo,p503,8,8518,8517
ligero,p503x,8,3099,3098
aurora,p503x,8,3099,3098
limbo,p503x,8,3099,3098
ligero,p509+,8,8518,8517
aurora,p509+,8,8518,8517
limbo,p509+,8,8518,8517
limbo,p610,10,11114,11113
ligero,p610x,10,4043,4042
aurora,p610x,10,4043,4042
limbo,p610x,10,4043,4042
ligero,p619+,10,11114,11113
aurora,p619+,10,11114,11113
limbo,p619+,10,11114,11113
limbo,p751,12,14084,14083
ligero,p751x,12,5123,5122
aurora,p751x,12,5123,5122
limbo,p751x,12,5123,5122
ligero,p761+,12,14084,14083
aurora,p761+,12,14084,14083
limbo,p761+,12,14084,14083
